model_id,link_type,material,material-age,material-age-velocity
link_0449,pipe,G1,G1,G2
link_0450,pipe,G1,G1,G1
link_0451,pipe,G1,G1,G1
link_0452,pipe,G1,G1,G1
link_0453,pipe,G1,G1,G2
link_0454,pipe,G1,G1,G2
link_0455,pipe,G2,G3,G5
link_0456,pipe,G2,G3,G5
link_0457,pipe,G2,G3,G5
link_0458,pipe,G2,G3,G5
link_0459,pipe,G1,G1,G2
link_0460,pipe,G2,G3,G5
link_0461,pipe,G1,G2,G3
link_0462,pipe,G2,G3,G5
link_0463,pipe,G1,G1,G1
link_0464,pipe,G1,G1,G2
link_0465,pipe,G1,G2,G3
link_0466,pipe,G1,G2,G3
link_0467,pipe,G2,G3,G5
link_0468,pipe,G2,G3,G5
link_0469,pipe,G2,G3,G5
link_0470,pipe,G2,G3,G5
link_0471,pipe,G2,G3,G5
link_0472,pipe,G1,G2,G3
link_0473,pipe,G1,G2,G3
link_0474,pipe,G1,G2,G4
link_0475,pipe,G1,G2,G4
link_0476,pipe,G1,G2,G4
link_0477,pipe,G1,G2,G4
link_0478,pipe,G2,G3,G5
link_0479,pipe,G2,G3,G5
link_0480,pipe,G1,G1,G1
link_0481,pipe,G1,G1,G1
link_0482,pipe,G1,G1,G2
link_0483,pipe,G1,G1,G2
link_0484,pipe,G1,G1,G1
link_0485,pipe,G2,G3,G5
link_0486,pipe,G2,G3,G5
link_0487,pipe,G1,G1,G2
link_0488,pipe,G1,G1,G2
link_0489,pipe,G1,G1,G2
link_0490,pipe,G1,G1,G2
link_0491,pipe,G1,G1,G2
link_0492,pipe,G1,G1,G2
link_0493,pipe,G1,G1,G2
link_0494,pipe,G2,G3,G5
link_0495,pipe,G2,G3,G5
link_0496,pipe,G2,G3,G5
link_0497,pipe,G2,G3,G5
link_0498,pipe,G2,G3,G5
link_0499,pipe,G2,G3,G5
link_0500,pipe,G2,G3,G5
link_0501,pipe,G2,G3,G5
link_0502,pipe,G2,G3,G5
link_0503,pipe,G2,G3,G5
link_0504,pipe,G2,G3,G5
link_0505,pipe,G2,G3,G5
link_0506,pipe,G2,G3,G5
link_0507,pipe,G2,G3,G5
link_0508,pipe,G2,G3,G5
link_0509,pipe,G2,G3,G5
link_0510,pipe,G2,G3,G5
link_0511,pipe,G2,G3,G5
link_0512,pipe,G2,G3,G5
link_0513,pipe,G2,G3,G5
link_0514,pipe,G1,G1,G2
link_0515,pipe,G1,G1,G2
link_0516,pipe,G1,G1,G2
link_0517,pipe,G1,G1,G2
link_0518,pipe,G1,G1,G2
link_0519,pipe,G1,G1,G2
link_0520,pipe,G1,G1,G2
link_0521,pipe,G1,G2,G4
link_0522,pipe,G1,G1,G2
link_0523,pipe,G1,G1,G2
